codeD,date_obs,t_moy
1,"01/01/2019",6
1,"01/01/2020",-1
1,"01/01/2021",2
1,"01/01/2022",6
1,"01/01/2023",15
1,"01/02/2019",5
1,"01/02/2020",10
1,"01/02/2021",9
1,"01/02/2022",2
1,"01/02/2023",6
1,"01/03/2019",9
1,"01/03/2020",10
1,"01/03/2021",8
1,"01/03/2022",5
1,"01/03/2023",-1
1,"01/04/2019",13
1,"01/04/2020",6
1,"01/04/2021",16
1,"01/04/2022",1
1,"01/04/2023",12
1,"01/05/2019",11
1,"01/05/2020",11
1,"01/05/2021",8
1,"01/05/2022",12
1,"01/05/2023",15
1,"01/06/2019",19
1,"01/06/2020",18
1,"01/06/2021",20
1,"01/06/2022",17
1,"01/06/2023",20
1,"01/07/2019",26
1,"01/07/2020",23
1,"01/07/2021",19
1,"01/07/2022",17
1,"01/07/2023",17
1,"01/08/2019",19
1,"01/08/2020",27
1,"01/08/2021",17
1,"01/08/2022",24
1,"01/08/2023",22
1,"01/09/2019",20
1,"01/09/2020",16
1,"01/09/2021",16
1,"01/09/2022",20
1,"01/09/2023",23
1,"01/10/2019",17
1,"01/10/2020",13
1,"01/10/2021",14
1,"01/10/2022",13
1,"01/10/2023",17
1,"01/11/2019",13
1,"01/11/2020",13
1,"01/11/2021",11
1,"01/11/2022",17
1,"01/11/2023",10
1,"01/12/2019",6
1,"01/12/2020",1
1,"01/12/2021",3
1,"01/12/2022",4
1,"01/12/2023",5
1,"02/01/2019",4
1,"02/01/2020",3
1,"02/01/2021","0"
1,"02/01/2022",4
1,"02/01/2023",12
1,"02/02/2019",2
1,"02/02/2020",10
1,"02/02/2021",10
1,"02/02/2022",5
1,"02/02/2023",6
1,"02/03/2019",6
1,"02/03/2020",7
1,"02/03/2021",8
1,"02/03/2022",6
1,"02/03/2023",5
1,"02/04/2019",13
1,"02/04/2020",7
1,"02/04/2021",13
1,"02/04/2022","0"
1,"02/04/2023",9
1,"02/05/2019",11
1,"02/05/2020",13
1,"02/05/2021",9
1,"02/05/2022",12
1,"02/05/2023",14
1,"02/06/2019",22
1,"02/06/2020",20
1,"02/06/2021",17
1,"02/06/2022",20
1,"02/06/2023",20
1,"02/07/2019",23
1,"02/07/2020",21
1,"02/07/2021",19
1,"02/07/2022",19
1,"02/07/2023",21
1,"02/08/2019",22
1,"02/08/2020",22
1,"02/08/2021",16
1,"02/08/2022",24
1,"02/08/2023",26
1,"02/09/2019",19
1,"02/09/2020",16
1,"02/09/2021",19
1,"02/09/2022",21
1,"02/09/2023",24
1,"02/10/2019",15
1,"02/10/2020",13
1,"02/10/2021",19
1,"02/10/2022",20
1,"02/10/2023",20
1,"02/11/2019",15
1,"02/11/2020",16
1,"02/11/2021",11
1,"02/11/2022",13
1,"02/11/2023",12
1,"02/12/2019",4
1,"02/12/2020",1
1,"02/12/2021",3
1,"02/12/2022",4
1,"02/12/2023","0"
1,"03/01/2019","0"
1,"03/01/2020",6
1,"03/01/2021","0"
1,"03/01/2022",8
1,"03/01/2023",9
1,"03/02/2019",1
1,"03/02/2020",14
1,"03/02/2021",12
1,"03/02/2022",7
1,"03/02/2023",5
1,"03/03/2019",8
1,"03/03/2020",5
1,"03/03/2021",10
1,"03/03/2022",8
1,"03/03/2023",2
1,"03/04/2019",6
1,"03/04/2020",6
1,"03/04/2021",8
1,"03/04/2022",2
1,"03/04/2023",9
1,"03/05/2019",12
1,"03/05/2020",15
1,"03/05/2021",8
1,"03/05/2022",15
1,"03/05/2023",14
1,"03/06/2019",22
1,"03/06/2020",19
1,"03/06/2021",21
1,"03/06/2022",22
1,"03/06/2023",20
1,"03/07/2019",23
1,"03/07/2020",18
1,"03/07/2021",19
1,"03/07/2022",22
1,"03/07/2023",22
1,"03/08/2019",21
1,"03/08/2020",19
1,"03/08/2021",17
1,"03/08/2022",25
1,"03/08/2023",22
1,"03/09/2019",16
1,"03/09/2020",17
1,"03/09/2021",22
1,"03/09/2022",21
1,"03/09/2023",23
1,"03/10/2019",10
1,"03/10/2020",11
1,"03/10/2021",16
1,"03/10/2022",18
1,"03/10/2023",23
1,"03/11/2019",11
1,"03/11/2020",10
1,"03/11/2021",9
1,"03/11/2022",10
1,"03/11/2023",9
1,"03/12/2019","0"
1,"03/12/2020",5
1,"03/12/2021",2
1,"03/12/2022",4
1,"03/12/2023",1
1,"04/01/2019",1
1,"04/01/2020",6
1,"04/01/2021",-1
1,"04/01/2022",11
1,"04/01/2023",4
1,"04/02/2019",-1
1,"04/02/2020",5
1,"04/02/2021",7
1,"04/02/2022",6
1,"04/02/2023",6
1,"04/03/2019",12
1,"04/03/2020",6
1,"04/03/2021",9
1,"04/03/2022",6
1,"04/03/2023",7
1,"04/04/2019",5
1,"04/04/2020",9
1,"04/04/2021",7
1,"04/04/2022",3
1,"04/04/2023",5
1,"04/05/2019",8
1,"04/05/2020",17
1,"04/05/2021",13
1,"04/05/2022",16
1,"04/05/2023",19
1,"04/06/2019",20
1,"04/06/2020",15
1,"04/06/2021",24
1,"04/06/2022",24
1,"04/06/2023",21
1,"04/07/2019",23
1,"04/07/2020",18
1,"04/07/2021",18
1,"04/07/2022",21
1,"04/07/2023",21
1,"04/08/2019",22
1,"04/08/2020",17
1,"04/08/2021",17
1,"04/08/2022",29
1,"04/08/2023",18
1,"04/09/2019",18
1,"04/09/2020",21
1,"04/09/2021",21
1,"04/09/2022",22
1,"04/09/2023",25
1,"04/10/2019",10
1,"04/10/2020",12
1,"04/10/2021",11
1,"04/10/2022",17
1,"04/10/2023",15
1,"04/11/2019",11
1,"04/11/2020",7
1,"04/11/2021",7
1,"04/11/2022",9
1,"04/11/2023",10
1,"04/12/2019","0"
1,"04/12/2020",4
1,"04/12/2021",6
1,"04/12/2022",5
1,"04/12/2023",2
1,"05/01/2019","0"
1,"05/01/2020",1
1,"05/01/2021","0"
1,"05/01/2022",3
1,"05/01/2023",9
1,"05/02/2019",1
1,"05/02/2020",6
1,"05/02/2021",11
1,"05/02/2022",5
1,"05/02/2023",5
1,"05/03/2019",10
1,"05/03/2020",8
1,"05/03/2021",8
1,"05/03/2022",3
1,"05/03/2023",3
1,"05/04/2019",6
1,"05/04/2020",12
1,"05/04/2021",8
1,"05/04/2022",7
1,"05/04/2023",5
1,"05/05/2019",7
1,"05/05/2020",21
1,"05/05/2021",12
1,"05/05/2022",15
1,"05/05/2023",19
1,"05/06/2019",23
1,"05/06/2020",14
1,"05/06/2021",17
1,"05/06/2022",22
1,"05/06/2023",20
1,"05/07/2019",24
1,"05/07/2020",21
1,"05/07/2021",22
1,"05/07/2022",20
1,"05/07/2023",22
1,"05/08/2019",24
1,"05/08/2020",19
1,"05/08/2021",19
1,"05/08/2022",27
1,"05/08/2023",17
1,"05/09/2019",15
1,"05/09/2020",25
1,"05/09/2021",20
1,"05/09/2022",24
1,"05/09/2023",27
1,"05/10/2019",14
1,"05/10/2020",12
1,"05/10/2021",12
1,"05/10/2022",17
1,"05/10/2023",14
1,"05/11/2019",11
1,"05/11/2020",10
1,"05/11/2021",6
1,"05/11/2022",9
1,"05/11/2023",13
1,"05/12/2019",-1
1,"05/12/2020",2
