codeD,age0_19,age20_39,age40_59,age60_74,age75_et_plus,total,femme,homme
1,169605,149821,181185,107629,57151,665391,344007,321384
10,74862,70017,77295,56473,32436,311083,160830,150253
11,79715,72105,97739,80958,49327,379844,196379,183465
12,55265,53089,71524,60524,39852,280254,144891,135363
13,483436,489974,526957,348795,213337,2062499,1066312,996187
14,156612,159879,172228,132852,73739,695310,359475,335835
15,26719,25449,37595,33047,20470,143280,74076,69204
16,70991,70201,90375,74163,44568,350298,181104,169194
17,129011,122942,167067,148793,91669,659482,340952,318530
18,61174,58207,75626,63680,38217,296904,153499,143405
19,46779,44479,61087,52816,33284,238445,123276,115169
2,127886,113607,132928,99375,50607,524403,271116,253287
21,118118,130903,133327,96670,55406,534424,276297,258127
22,130658,110172,152841,129855,77828,601354,310900,290454
23,20160,18961,28852,28494,17244,113711,58789,54922
24,75948,71510,105260,97457,60912,411087,212532,198555
25,133492,131707,137198,91880,53295,547572,283095,264477
26,124501,110679,135060,96677,57589,524506,271170,253336
27,147534,126056,158124,108946,53225,593885,307039,286846
28,105867,89422,112852,77267,42368,427776,221160,206616
29,198612,193661,237703,186276,106545,922797,477086,445711
2A,32848,32709,45141,31138,20478,162314,83916,78398
2B,38265,42627,49061,35537,21661,187151,96757,90394
3,66254,62020,83598,72268,47617,331757,171518,160239
30,168506,154424,195289,149899,85318,753436,389526,363910
31,343415,405739,373055,211050,118796,1452055,750712,701343
32,37655,33545,50584,42761,27734,192279,99408,92871
33,383929,423758,439976,277748,155919,1681330,869248,812082
34,275588,294538,301730,214999,130932,1217787,629596,588191
35,275115,277041,285664,171869,98171,1107860,572764,535096
36,42116,39179,54547,47858,31331,215031,111171,103860
37,140886,140180,154898,111475,65967,613406,317131,296275
38,320370,304092,337011,207704,116738,1285915,664818,621097
39,56466,51089,67780,51252,30541,257128,132935,124193
4,33620,30724,42956,36032,22250,165582,85606,79976
40,86479,78984,114080,90339,52450,422332,218346,203986
41,71228,62292,84034,66657,41387,325598,168334,157264
42,184379,169894,190225,137052,85999,767549,396823,370726
43,49680,43287,60107,47177,26973,227224,117475,109749
44,367807,364532,381147,236836,127779,1478101,764178,713923
45,172206,156116,173128,117631,67119,686200,354765,331435
46,31288,29911,43740,42580,27003,174522,90228,84294
47,69164,63500,83217,68579,44675,329135,170163,158972
48,15458,14833,20034,16490,9758,76573,39588,36985
49,200402,190261,205462,143047,86069,825241,426650,398591
5,29263,26865,37157,30480,17294,141059,72928,68131
50,103797,96639,124619,103696,62530,491281,253992,237289
51,132820,137652,140943,98762,52368,562545,290836,271709
52,34077,33690,42485,35533,20558,166343,85999,80344
53,73554,62816,78641,56499,34360,305870,158135,147735
54,166746,185787,182981,127125,68367,731006,377930,353076
55,38819,36928,45824,37353,19232,178156,92107,86049
56,166509,147030,199184,164555,93643,770921,398566,372355
57,229422,243411,277755,195230,98580,1044398,539954,504444
58,37983,35267,48945,47491,29687,199373,103076,96297
59,667669,663951,649592,418101,207560,2606873,1347753,1259120
6,235014,237106,286618,201508,143309,1103555,570538,533017
60,213925,194270,221849,137592,65377,833013,430668,402345
61,57994,51833,68645,58867,35875,273214,141252,131962
62,360073,335450,372114,262009,126909,1456555,753039,703516
63,149263,157495,171013,123797,70926,672494,347679,324815
64,142644,143704,183127,135362,86933,691770,357645,334125
65,44917,44893,59129,50569,31506,231014,119434,111580
66,102626,94903,122647,99556,65664,485396,250950,234446
67,260154,290769,303579,200033,102011,1156546,597934,558612
68,173613,172205,208062,140710,73967,768557,397344,371213
69,479828,532554,469170,266377,164144,1912073,988542,923531
7,70816,61675,87687,69557,41130,330865,171057,159808
70,51359,45464,61857,47904,25947,232531,120219,112312
71,116402,103920,139726,114899,71630,546577,282580,263997
72,134203,119253,142509,106211,62412,564588,291892,272696
73,100121,97616,118666,79945,45706,442054,228542,213512
74,208734,207716,235549,128590,69536,850125,439515,410610
75,401664,708578,539440,310928,179297,2139907,1106332,1033575
76,300258,299734,308987,222501,122116,1253596,648109,605487
77,391132,359246,384424,210661,98333,1443796,746443,697353
78,390258,343629,396524,212744,120554,1463709,756738,706971
79,83877,73755,98478,73688,44628,374426,193578,180848
8,60125,55725,69077,52834,27524,265285,137152,128133
80,132077,135161,143281,101551,54258,566328,292792,273536
81,84530,75769,102772,79276,50699,393046,203205,189841
82,62969,52549,70558,49100,29040,264216,136600,127616
83,224984,219881,279809,220346,150544,1095564,566407,529157
84,131540,117749,145447,105145,63047,562928,291034,271894
85,155953,134081,178800,146705,83757,699296,361536,337760
86,99448,103094,107556,81266,48800,440164,227565,212599
87,77134,78895,92659,74736,46381,369805,191189,178616
88,75538,70923,93187,76419,42108,358175,185176,172999
89,72667,64298,84948,68575,39586,330074,170648,159426
9,30498,28773,40180,33192,20483,153126,79166,73960
90,31851,31894,35903,24740,13326,137714,71198,66516
91,356828,334014,345228,182755,96579,1315404,680064,635340
92,405332,455709,438829,220262,122948,1643080,849472,793608
93,488305,470896,429842,202830,86494,1678367,867716,810651
94,367442,396722,371677,196255,102255,1434351,741559,692792
95,366318,330385,328578,173791,77462,1276534,659968,616566
