codeD,densite,niveau_densite
1,112,100 à 200 moyenne
10,52,50 à 100 faible
11,61,50 à 100 faible
12,32,<50 très faible
13,400,200 à 1000 dense
14,125,100 à 200 moyenne
15,25,<50 très faible
16,59,50 à 100 faible
17,94,50 à 100 faible
18,42,<50 très faible
19,41,<50 très faible
2,72,50 à 100 faible
21,61,50 à 100 faible
22,87,50 à 100 faible
23,21,<50 très faible
24,46,<50 très faible
25,103,100 à 200 moyenne
26,79,50 à 100 faible
27,99,50 à 100 faible
28,73,50 à 100 faible
29,135,100 à 200 moyenne
2A,39,<50 très faible
2B,39,<50 très faible
3,46,<50 très faible
30,127,100 à 200 moyenne
31,219,200 à 1000 dense
32,31,<50 très faible
33,161,100 à 200 moyenne
34,190,100 à 200 moyenne
35,158,100 à 200 moyenne
36,32,<50 très faible
37,99,50 à 100 faible
38,170,100 à 200 moyenne
39,52,50 à 100 faible
4,24,<50 très faible
40,44,<50 très faible
41,52,50 à 100 faible
42,160,100 à 200 moyenne
43,46,<50 très faible
44,207,200 à 1000 dense
45,100,100 à 200 moyenne
46,33,<50 très faible
47,62,50 à 100 faible
48,15,<50 très faible
49,114,100 à 200 moyenne
5,25,<50 très faible
50,84,50 à 100 faible
51,70,50 à 100 faible
52,28,<50 très faible
53,59,50 à 100 faible
54,140,100 à 200 moyenne
55,30,<50 très faible
56,111,100 à 200 moyenne
57,168,100 à 200 moyenne
58,30,<50 très faible
59,454,200 à 1000 dense
6,253,200 à 1000 dense
60,141,100 à 200 moyenne
61,46,<50 très faible
62,220,200 à 1000 dense
63,83,50 à 100 faible
64,89,50 à 100 faible
65,51,50 à 100 faible
66,116,100 à 200 moyenne
67,238,200 à 1000 dense
68,217,200 à 1000 dense
69,572,200 à 1000 dense
7,59,50 à 100 faible
70,44,<50 très faible
71,64,50 à 100 faible
72,91,50 à 100 faible
73,72,50 à 100 faible
74,186,100 à 200 moyenne
75,20720,>1000 très dense
76,200,200 à 1000 dense
77,239,200 à 1000 dense
78,631,200 à 1000 dense
79,62,50 à 100 faible
8,52,50 à 100 faible
80,92,50 à 100 faible
81,67,50 à 100 faible
82,70,50 à 100 faible
83,179,100 à 200 moyenne
84,157,100 à 200 moyenne
85,101,100 à 200 moyenne
86,63,50 à 100 faible
87,68,50 à 100 faible
88,62,50 à 100 faible
89,45,<50 très faible
9,31,<50 très faible
90,233,200 à 1000 dense
91,719,200 à 1000 dense
92,9200,>1000 très dense
93,6918,>1000 très dense
94,5702,>1000 très dense
95,994,200 à 1000 dense
