codeD,nb_log_soc,part_log_soc_indiv,part_log_soc_collec,loyer_moy_par_hab_m2,nb_log_sociaux_coll_pour_10k_hab
1,701,17.1,82.9,6,581
10,1024,23.5,76.5,5,783
11,475,29.2,70.8,5,336
12,308,16.6,83.4,5,257
13,779,6.1,93.9,6,731
14,853,32.9,67.1,6,572
15,431,23,77,5,332
16,453,20.5,79.5,5,360
17,437,24.4,75.6,5,330
18,708,32.5,67.5,5,478
19,409,34.1,65.9,5,270
2,779,24.6,75.4,5,587
21,676,8.9,91.1,5,616
22,381,41.4,58.6,5,223
23,463,30.4,69.6,5,322
24,341,41.7,58.3,5,199
25,687,8,92,5,632
26,552,17.1,82.9,5,458
27,707,28.2,71.8,6,508
28,750,22.6,77.4,5,581
29,523,25.1,74.9,5,392
2A,393,8.3,91.7,6,360
2B,454,9.9,90.1,5,409
3,610,26.2,73.8,5,450
30,552,12.4,87.6,5,484
31,642,15.4,84.6,6,543
32,299,39.8,60.2,5,180
33,643,21.4,78.6,6,505
34,545,12.4,87.6,6,477
35,667,15.5,84.5,5,564
36,800,35.9,64.1,5,513
37,825,19.7,80.3,5,662
38,709,10.6,89.4,6,634
39,548,13.9,86.1,4,472
4,439,10.8,89.2,6,392
40,321,41.6,58.4,5,187
41,652,30.3,69.7,5,454
42,784,7.6,92.4,5,724
43,357,19.8,80.2,5,286
44,622,16.5,83.5,6,519
45,745,25.1,74.9,6,558
46,298,34,66,5,197
47,339,29.5,70.5,5,239
48,377,15.9,84.1,5,317
49,810,32.5,67.5,5,547
5,558,13.2,86.8,5,484
50,766,40.2,59.8,5,458
51,1302,17.6,82.4,5,1073
52,937,18.7,81.3,5,762
53,524,31.8,68.2,5,357
54,728,10.9,89.1,5,649
55,560,24.9,75.1,5,421
56,495,20.8,79.2,5,392
57,753,12.3,87.7,5,660
58,666,16.6,83.4,5,555
59,1038,35.8,64.2,6,666
6,514,2.2,97.8,7,503
60,812,15.7,84.3,5,685
61,752,31.6,68.4,5,514
62,1103,56.8,43.2,6,476
63,647,15.1,84.9,5,549
64,527,8.2,91.8,6,484
65,558,16.7,83.3,5,465
66,507,21.3,78.7,5,399
67,599,4.4,95.6,6,573
68,654,6.7,93.3,6,610
69,931,3.4,96.6,6,899
7,417,20.3,79.7,5,332
70,477,24.7,75.3,5,359
71,775,19.7,80.3,5,622
72,691,25.1,74.9,5,518
73,796,5.5,94.5,6,752
74,580,2.6,97.4,6,565
75,1071,"0.1",99.9,8,1070
76,1182,14.5,85.5,5,1011
77,739,8.3,91.7,6,678
78,860,5.1,94.9,7,816
79,419,49.7,50.3,5,211
8,894,23.8,76.2,5,681
80,728,25.5,74.5,6,542
81,397,17.7,82.3,5,327
82,325,38.3,61.7,5,201
83,470,6.4,93.6,6,440
84,622,16.1,83.9,6,522
85,341,48.3,51.7,5,176
86,585,30.2,69.8,5,408
87,694,12.7,87.3,5,606
88,673,14.6,85.4,5,575
89,621,20.1,79.9,5,496
9,234,19.6,80.4,5,188
90,1028,8.3,91.7,5,943
91,928,4.5,95.5,6,886
92,1248,1,99,7,1236
93,1377,1.7,98.3,7,1354
94,1257,1.5,98.5,7,1238
95,1001,6.4,93.6,6,937
