codeD,hosp_le_14_04_2020,hosp_le_16_11_2020,hosp_le_12_04_2021,population,nb_hosp_pour_100000_hab_le_14_04_2020,nb_hosp_pour_100000_hab_le_16_11_2020,nb_hosp_pour_100000_hab_le_12_04_2021,rea_le_14_04_2020,rea_le_16_11_2020,rea_le_12_04_2021,nb_rea_pour_100000_hab_le_14_04_2020,nb_rea_pour_100000_hab_le_16_11_2020,nb_rea_pour_100000_hab_le_12_04_2021
1,134,424,201,665391,20.1,63.7,30.2,29,25,21,4.4,3.8,3.2
10,274,143,148,311083,88.1,46,47.6,26,15,19,8.4,4.8,6.1
11,86,107,151,379844,22.6,28.2,39.8,12,10,18,3.2,2.6,4.7
12,56,151,108,280254,20,53.9,38.5,5,8,11,1.8,2.9,3.9
13,1142,1583,1508,2062499,55.4,76.8,73.1,261,295,340,12.7,14.3,16.5
14,152,277,233,695310,21.9,39.8,33.5,43,42,49,6.2,6,7
15,29,56,35,143280,20.2,39.1,24.4,9,13,8,6.3,9.1,5.6
16,14,61,72,350298,4,17.4,20.6,6,10,15,1.7,2.9,4.3
17,94,106,124,659482,14.3,16.1,18.8,20,20,22,3,3,3.3
18,72,192,99,296904,24.3,64.7,33.3,13,13,11,4.4,4.4,3.7
19,53,77,62,238445,22.2,32.3,26,12,9,15,5,3.8,6.3
2,279,242,302,524403,53.2,46.1,57.6,45,34,51,8.6,6.5,9.7
21,346,381,250,534424,64.7,71.3,46.8,73,65,50,13.7,12.2,9.4
22,77,83,123,601354,12.8,13.8,20.5,10,11,15,1.7,1.8,2.5
23,32,83,45,113711,28.1,73,39.6,14,12,10,12.3,10.6,8.8
24,29,93,148,411087,7.1,22.6,36,7,16,15,1.7,3.9,3.6
25,234,229,140,547572,42.7,41.8,25.6,75,57,41,13.7,10.4,7.5
26,226,421,220,524506,43.1,80.3,41.9,58,62,39,11.1,11.8,7.4
27,85,213,258,593885,14.3,35.9,43.4,7,9,16,1.2,1.5,2.7
28,236,250,258,427776,55.2,58.4,60.3,24,27,45,5.6,6.3,10.5
29,120,123,98,922797,13,13.3,10.6,37,31,31,4,3.4,3.4
2A,71,47,63,162314,43.7,29,38.8,16,9,10,9.9,5.5,6.2
2B,3,32,27,187151,1.6,17.1,14.4,"0",4,7,"0",2.1,3.7
3,62,276,89,331757,18.7,83.2,26.8,21,29,17,6.3,8.7,5.1
30,97,360,275,753436,12.9,47.8,36.5,36,71,61,4.8,9.4,8.1
31,243,420,390,1452055,16.7,28.9,26.9,98,98,108,6.7,6.7,7.4
32,32,43,39,192279,16.6,22.4,20.3,3,7,2,1.6,3.6,1
33,317,399,448,1681330,18.9,23.7,26.6,102,112,100,6.1,6.7,5.9
34,192,439,394,1217787,15.8,36,32.4,57,96,99,4.7,7.9,8.1
35,190,303,361,1107860,17.2,27.4,32.6,36,41,56,3.2,3.7,5.1
36,92,74,76,215031,42.8,34.4,35.3,9,7,6,4.2,3.3,2.8
37,195,173,256,613406,31.8,28.2,41.7,50,45,50,8.2,7.3,8.2
38,249,1095,639,1285915,19.4,85.2,49.7,47,125,94,3.7,9.7,7.3
39,131,197,90,257128,50.9,76.6,35,18,9,15,7,3.5,5.8
4,34,136,155,165582,20.5,82.1,93.6,4,11,5,2.4,6.6,3
40,27,113,41,422332,6.4,26.8,9.7,12,15,7,2.8,3.6,1.7
41,104,108,129,325598,31.9,33.2,39.6,15,7,17,4.6,2.1,5.2
42,489,961,564,767549,63.7,125.2,73.5,99,112,75,12.9,14.6,9.8
43,29,217,73,227224,12.8,95.5,32.1,4,18,6,1.8,7.9,2.6
44,296,372,302,1478101,20,25.2,20.4,63,51,54,4.3,3.5,3.7
45,297,288,333,686200,43.3,42,48.5,77,73,69,11.2,10.6,10.1
46,24,33,27,174522,13.8,18.9,15.5,9,6,7,5.2,3.4,4
47,32,86,56,329135,9.7,26.1,17,6,14,10,1.8,4.3,3
48,6,49,34,76573,7.8,64,44.4,1,5,3,1.3,6.5,3.9
49,232,288,261,825241,28.1,34.9,31.6,44,68,48,5.3,8.2,5.8
5,46,191,125,141059,32.6,135.4,88.6,13,19,12,9.2,13.5,8.5
50,78,162,176,491281,15.9,33,35.8,20,13,27,4.1,2.6,5.5
51,387,223,289,562545,68.8,39.6,51.4,58,45,46,10.3,8,8.2
52,103,130,117,166343,61.9,78.2,70.3,19,4,10,11.4,2.4,6
53,71,127,64,305870,23.2,41.5,20.9,11,15,9,3.6,4.9,2.9
54,509,358,429,731006,69.6,49,58.7,147,53,113,20.1,7.3,15.5
55,146,62,82,178156,82,34.8,46,22,8,11,12.3,4.5,6.2
56,127,222,204,770921,16.5,28.8,26.5,34,30,36,4.4,3.9,4.7
57,1064,500,596,1044398,101.9,47.9,57.1,162,67,117,15.5,6.4,11.2
58,58,87,213,199373,29.1,43.6,106.8,10,10,7,5,5,3.5
59,984,1663,1475,2606873,37.7,63.8,56.6,258,278,343,9.9,10.7,13.2
6,282,460,654,1103555,25.6,41.7,59.3,79,76,106,7.2,6.9,9.6
60,458,307,584,833013,55,36.9,70.1,70,43,68,8.4,5.2,8.2
61,74,131,134,273214,27.1,47.9,49,13,12,14,4.8,4.4,5.1
62,463,813,918,1456555,31.8,55.8,63,97,121,153,6.7,8.3,10.5
63,79,376,264,672494,11.7,55.9,39.3,27,49,49,4,7.3,7.3
64,92,411,88,691770,13.3,59.4,12.7,23,22,19,3.3,3.2,2.7
65,83,181,56,231014,35.9,78.4,24.2,5,14,12,2.2,6.1,5.2
66,65,131,160,485396,13.4,27,33,21,26,36,4.3,5.4,7.4
67,1122,520,477,1156546,97,45,41.2,250,84,94,21.6,7.3,8.1
68,1041,252,266,768557,135.4,32.8,34.6,140,33,48,18.2,4.3,6.2
69,1247,1913,1205,1912073,65.2,100,63,251,292,281,13.1,15.3,14.7
7,106,256,121,330865,32,77.4,36.6,24,18,11,7.3,5.4,3.3
70,95,119,67,232531,40.9,51.2,28.8,18,17,17,7.7,7.3,7.3
71,180,500,293,546577,32.9,91.5,53.6,34,50,25,6.2,9.1,4.6
72,142,193,190,564588,25.2,34.2,33.7,21,24,17,3.7,4.3,3
73,99,450,180,442054,22.4,101.8,40.7,20,48,33,4.5,10.9,7.5
74,295,680,282,850125,34.7,80,33.2,70,75,43,8.2,8.8,5.1
75,3281,1345,1752,2139907,153.3,62.9,81.9,790,310,524,36.9,14.5,24.5
76,316,643,787,1253596,25.2,51.3,62.8,94,83,127,7.5,6.6,10.1
77,830,576,714,1443796,57.5,39.9,49.5,209,114,201,14.5,7.9,13.9
78,1054,765,612,1463709,72,52.3,41.8,183,79,114,12.5,5.4,7.8
79,37,82,78,374426,9.9,21.9,20.8,7,10,13,1.9,2.7,3.5
8,78,133,63,265285,29.4,50.1,23.7,17,15,12,6.4,5.7,4.5
80,368,214,371,566328,65,37.8,65.5,68,38,82,12,6.7,14.5
81,44,158,121,393046,11.2,40.2,30.8,19,29,29,4.8,7.4,7.4
82,18,91,72,264216,6.8,34.4,27.3,9,14,22,3.4,5.3,8.3
83,315,455,572,1095564,28.8,41.5,52.2,48,66,80,4.4,6,7.3
84,75,504,339,562928,13.3,89.5,60.2,17,41,25,3,7.3,4.4
85,79,101,134,699296,11.3,14.4,19.2,16,15,24,2.3,2.1,3.4
86,68,166,88,440164,15.4,37.7,20,28,18,14,6.4,4.1,3.2
87,71,155,90,369805,19.2,41.9,24.3,14,9,21,3.8,2.4,5.7
88,269,230,233,358175,75.1,64.2,65.1,31,20,28,8.7,5.6,7.8
89,91,207,245,330074,27.6,62.7,74.2,21,18,15,6.4,5.5,4.5
9,16,50,46,153126,10.4,32.7,30,4,4,14,2.6,2.6,9.1
90,226,138,90,137714,164.1,100.2,65.4,36,26,21,26.1,18.9,15.2
91,1217,723,867,1315404,92.5,55,65.9,231,114,173,17.6,8.7,13.2
92,2006,878,1243,1643080,122.1,53.4,75.7,423,156,267,25.7,9.5,16.2
93,1613,861,1131,1678367,96.1,51.3,67.4,240,115,191,14.3,6.9,11.4
94,2247,937,997,1434351,156.7,65.3,69.5,343,133,202,23.9,9.3,14.1
95,961,525,755,1276534,75.3,41.1,59.1,180,59,86,14.1,4.6,6.7
